,supermercado,precio
232,Alcampo,5.72
233,Alcampo,0.77
234,Alcampo,0.88
235,Alcampo,0.89
236,Alcampo,0.80
237,Alcampo,4.62
238,Alcampo,0.50
239,Alcampo,0.75
240,Alcampo,0.79
241,Alcampo,0.84
242,Alcampo,3.00
243,Alcampo,4.50
244,Alcampo,4.74
245,Alcampo,5.04
246,Alcampo,5.28
247,Alcampo,5.34
248,Alcampo,0.79
249,Alcampo,0.84
250,Alcampo,0.89
251,Alcampo,0.92
252,Alcampo,4.74
253,Alcampo,5.04
254,Alcampo,5.34
255,Alcampo,5.52
256,Alcampo,4.80
257,Alcampo,0.50
258,Alcampo,0.79
259,Alcampo,0.87
260,Alcampo,3.00
261,Alcampo,4.74
262,Alcampo,5.22
263,Alcampo,3.15
264,Alcampo,3.39
265,Alcampo,3.90
266,Alcampo,4.09
267,Alcampo,4.15
268,Alcampo,1.15
269,Alcampo,1.40
270,Alcampo,10.08
271,Alcampo,10.20
272,Alcampo,1.68
273,Alcampo,1.70
274,Alcampo,1.00
275,Alcampo,6.00
276,Alcampo,1.15
277,Alcampo,1.40
278,Alcampo,1.68
279,Alcampo,1.70
280,Alcampo,10.08
281,Alcampo,10.20
282,Alcampo,1.00
283,Alcampo,6.00
284,Alcampo,2.79
285,Alcampo,1.15
286,Alcampo,1.40
287,Alcampo,1.68
288,Alcampo,1.70
289,Alcampo,10.08
290,Alcampo,10.20
291,Alcampo,6.78
292,Alcampo,6.84
293,Alcampo,6.90
294,Alcampo,7.32
295,Alcampo,1.13
296,Alcampo,1.14
297,Alcampo,1.15
298,Alcampo,1.22
299,Alcampo,1.19
300,Alcampo,1.25
301,Alcampo,1.50
302,Alcampo,7.14
303,Alcampo,7.50
304,Alcampo,9.00
305,Alcampo,6.90
306,Alcampo,8.40
307,Alcampo,1.13
308,Alcampo,1.14
309,Alcampo,1.15
310,Alcampo,1.22
311,Alcampo,6.78
312,Alcampo,6.84
313,Alcampo,6.90
314,Alcampo,7.32
315,Alcampo,6.90
316,Alcampo,8.40
317,Alcampo,1.13
318,Alcampo,1.14
319,Alcampo,1.15
320,Alcampo,1.22
321,Alcampo,1.19
322,Alcampo,1.25
323,Alcampo,1.50
324,Alcampo,7.14
325,Alcampo,7.50
326,Alcampo,9.00
327,Alcampo,6.78
328,Alcampo,6.84
329,Alcampo,6.90
330,Alcampo,7.32
331,Alcampo,6.90
332,Alcampo,8.40
333,Alcampo,1.00
334,Alcampo,6.00
335,Alcampo,1.00
336,Alcampo,1.00
337,Alcampo,6.00
338,Alcampo,3.00
339,Alcampo,5.70
340,Alcampo,6.00
341,Alcampo,6.30
342,Alcampo,8.70
343,Alcampo,1.45
344,Alcampo,0.50
345,Alcampo,0.95
346,Alcampo,1.00
347,Alcampo,1.05
348,Alcampo,5.70
349,Alcampo,6.00
350,Alcampo,6.30
351,Alcampo,8.70
352,Alcampo,0.95
353,Alcampo,1.00
354,Alcampo,1.05
355,Alcampo,1.45
356,Alcampo,1.68
357,Alcampo,0.95
358,Alcampo,1.00
359,Alcampo,1.05
360,Alcampo,5.70
361,Alcampo,6.00
362,Alcampo,6.30
363,Alcampo,8.70
364,Alcampo,1.45
365,Alcampo,1.49
366,Alcampo,1.55
367,Alcampo,1.68
368,Alcampo,1.65
369,Alcampo,2.20
370,Alcampo,1.82
371,Alcampo,2.05
372,Alcampo,2.25
373,Alcampo,6.00
374,Alcampo,7.50
375,Alcampo,1.35
376,Alcampo,1.44
377,Alcampo,1.47
378,Alcampo,1.71
379,Alcampo,1.74
380,Alcampo,1.75
381,Alcampo,1.35
382,Alcampo,1.44
383,Alcampo,1.47
384,Alcampo,7.44
385,Alcampo,7.59
386,Alcampo,1.35
387,Alcampo,1.44
388,Alcampo,1.47
389,Alcampo,7.44
390,Alcampo,7.59
391,Alcampo,9.54
392,Alcampo,10.50
393,Alcampo,11.40
394,Alcampo,1.59
395,Alcampo,1.75
396,Alcampo,1.85
397,Alcampo,1.90
398,Alcampo,0.90
399,Alcampo,0.90
400,Alcampo,5.40
401,Alcampo,5.94
402,Alcampo,1.00
403,Alcampo,7.44
404,Alcampo,7.50
405,Alcampo,7.68
406,Alcampo,8.40
407,Alcampo,9.00
408,Alcampo,1.09
409,Alcampo,1.25
410,Alcampo,1.38
411,Alcampo,6.54
412,Alcampo,7.50
413,Alcampo,8.28
414,Alcampo,1.24
415,Alcampo,1.25
416,Alcampo,1.37
417,Alcampo,1.40
418,Alcampo,1.50
419,Alcampo,1.09
420,Alcampo,1.25
421,Alcampo,1.38
422,Alcampo,6.54
423,Alcampo,7.50
424,Alcampo,8.28
425,Alcampo,1.70
426,Alcampo,1.74
427,Alcampo,1.61
428,Alcampo,1.74
429,Alcampo,2.38
430,Alcampo,2.45
431,Alcampo,1.24
432,Alcampo,1.25
433,Alcampo,1.37
434,Alcampo,1.40
435,Alcampo,1.50
436,Alcampo,7.44
437,Alcampo,7.50
438,Alcampo,7.68
439,Alcampo,8.40
440,Alcampo,9.00
441,Alcampo,1.09
442,Alcampo,1.25
443,Alcampo,1.38
444,Alcampo,6.54
445,Alcampo,7.50
446,Alcampo,8.28
447,Alcampo,7.44
448,Alcampo,7.59
449,Alcampo,5.40
450,Alcampo,9.54
451,Alcampo,10.08
452,Alcampo,0.90
453,Alcampo,1.59
454,Alcampo,1.68
455,Alcampo,1.00
456,Alcampo,1.29
457,Alcampo,1.50
458,Alcampo,6.00
459,Alcampo,7.50
460,Alcampo,7.74
461,Alcampo,9.00
462,Alcampo,1.24
463,Alcampo,1.25
464,Alcampo,1.37
465,Alcampo,1.40
466,Alcampo,1.50
467,Alcampo,7.44
468,Alcampo,7.50
469,Alcampo,7.68
470,Alcampo,8.40
471,Alcampo,9.00
472,Alcampo,8.40
473,Alcampo,22.97
474,Alcampo,23.43
475,Alcampo,3.83
476,Alcampo,3.91
477,Alcampo,4.73
478,Alcampo,1.08
479,Alcampo,0.68
480,Alcampo,0.78
481,Alcampo,4.73
482,Carrefour,15.29
483,Carrefour,2.85
484,Carrefour,3.99
485,Carrefour,2.95
486,Carrefour,3.05
487,Carrefour,4.45
488,Carrefour,2.79
489,Carrefour,2.99
490,Carrefour,3.85
491,Carrefour,4.29
492,Carrefour,3.85
493,Carrefour,3.15
494,Carrefour,14.49
495,Carrefour,2.59
496,Carrefour,22.77
497,Carrefour,46.30
498,Carrefour,5.49
499,Carrefour,5.60
500,Carrefour,2.25
501,Carrefour,2.30
502,Carrefour,24.56
503,Carrefour,24.00
504,Carrefour,33.30
505,Carrefour,4.15
506,Carrefour,4.23
507,Carrefour,3.39
508,Carrefour,2.99
509,Carrefour,1.52
510,Carrefour,1.77
511,Carrefour,1.81
512,Carrefour,1.72
513,Carrefour,1.75
514,Carrefour,1.77
515,Carrefour,1.00
516,Carrefour,1.26
517,Carrefour,1.36
518,Carrefour,1.39
519,Carrefour,1.50
520,Carrefour,1.65
521,Carrefour,1.84
522,Carrefour,1.88
523,Carrefour,1.00
524,Carrefour,1.14
525,Carrefour,1.16
526,Carrefour,1.32
527,Carrefour,1.34
528,Carrefour,1.37
529,Carrefour,1.40
530,Carrefour,1.09
531,Carrefour,1.36
532,Carrefour,1.39
533,Carrefour,1.41
534,Carrefour,0.73
535,Carrefour,0.75
536,Carrefour,0.77
537,Carrefour,0.78
538,Carrefour,1.36
539,Carrefour,1.39
540,Carrefour,0.77
541,Carrefour,0.79
542,Carrefour,0.80
543,Carrefour,6.99
544,Carrefour,7.20
545,Carrefour,7.89
546,Carrefour,0.85
547,Carrefour,0.88
548,Carrefour,1.59
549,Carrefour,1.62
550,Carrefour,1.69
551,Carrefour,1.72
552,Carrefour,1.00
553,Carrefour,1.02
554,Carrefour,1.05
555,Carrefour,1.07
556,Carrefour,1.08
557,Carrefour,1.09
558,Carrefour,1.19
559,Carrefour,1.22
560,Carrefour,1.24
561,Carrefour,1.26
562,Carrefour,1.27
563,Carrefour,1.89
564,Carrefour,2.09
565,Carrefour,0.93
566,Carrefour,0.95
567,Carrefour,1.05
568,Carrefour,1.11
569,Carrefour,1.13
570,Carrefour,1.14
571,Carrefour,1.18
572,Carrefour,1.19
573,Carrefour,1.20
574,Carrefour,1.16
575,Carrefour,1.18
576,Carrefour,1.58
577,Carrefour,1.60
578,Carrefour,1.63
579,Carrefour,1.08
580,Carrefour,1.10
581,Carrefour,1.19
582,Carrefour,1.22
583,Carrefour,1.33
584,Carrefour,1.36
585,Carrefour,1.37
586,Carrefour,1.12
587,Carrefour,1.13
588,Carrefour,1.14
589,Carrefour,1.16
590,Carrefour,1.19
591,Carrefour,1.50
592,Carrefour,1.53
593,Carrefour,0.95
594,Carrefour,1.14
595,Carrefour,1.20
596,Carrefour,0.93
597,Carrefour,1.10
598,Carrefour,1.22
599,Carrefour,1.24
600,Carrefour,1.52
601,Carrefour,1.55
602,Carrefour,1.57
603,Carrefour,1.42
604,Carrefour,1.57
605,Carrefour,1.25
606,Carrefour,1.29
607,Carrefour,1.58
608,Carrefour,1.60
609,Carrefour,1.62
610,Carrefour,1.71
611,Carrefour,1.73
612,Carrefour,1.76
613,Carrefour,8.15
614,Carrefour,13.09
615,Carrefour,10.59
616,Carrefour,10.65
617,Carrefour,0.73
618,Carrefour,0.85
619,Carrefour,0.88
620,Carrefour,0.89
621,Carrefour,0.90
622,Carrefour,1.45
623,Carrefour,1.48
624,Carrefour,0.90
625,Carrefour,0.91
626,Carrefour,0.92
627,Carrefour,1.53
628,Carrefour,1.56
629,Carrefour,7.89
630,Carrefour,8.19
631,Carrefour,8.99
632,Carrefour,0.96
633,Carrefour,0.97
634,Carrefour,0.99
635,Carrefour,1.69
636,Carrefour,1.72
637,Carrefour,1.78
